idfasenotadisciplinaturma,idturma_x,idfasenota,iddisciplina_x,conteudoprogramatico,idperiodo,idserie,numerofase,nomefase,cabecboletim,imprimirboletimnotaparcial,imprimirboletimnpnaoconfirmada,imprimirboletimnota,imprimirboletimfaltas,stfaseinformada,stcalculardisciplinacomposta,idformulacomposicaonota,idformulanota,mediaminimaaprovacao,valorarredondamentomedia,idformulaaprovacao,idformulafalta,idfasenotaaprovacao,idfasenotareprovacao,datainicioexibicao,numeroordemexibicao,numerosemanasletivas,stcalcularsituacaogeral,idformulaaprovacaofrequencia,valornotamaxima,datainicialperiodoaula,datafinalperiodoaula,stcalcdisccomputilizaformulafn,datalimitedigitacaonota,numerodiasletivos,stdispensarnotaautomatica,tipodispensaautomatica,stconfirmardispensaautomatica,situacaoreprovadofrequencia,situacaoaprovado,situacaoreprovado,stfasenotasemprecalcular,tipoinformada,stpermiteprofessorimportarpadraoavaliacao,stpermiteprofessorinserireditaravaliacao,stpermiteprofessorinserirbloco,iddisciplina_y,idturma_y,idaluno,nota01,nota02,nota03,nota04,nota05,nota06,nota07,nota08,nota09,nota10,idformulacomposicao,stnotaconfirmada,notafase,faltas,quantaulasdadas,_nota01,stnotafaseexibirdisp,idfasenotaaluno,dt_pst
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,421,981,,,,,,,,,,,55.0,false,,0.0,,,false,10002,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,421,989,,,,,,,,,,,55.0,false,,0.0,,,false,10003,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,421,993,,,,,,,,,,,55.0,false,,0.0,,,false,10004,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,421,1044,,,,,,,,,,,55.0,false,,0.0,,,false,10005,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,421,1050,,,,,,,,,,,55.0,false,,0.0,,,false,10006,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,902,,,,,,,,,,,55.0,false,,0.0,,,false,10007,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,239,975,,,,,,,,,,,55.0,false,,0.0,,,false,10008,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,981,,,,,,,,,,,55.0,false,,0.0,,,false,10009,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,989,,,,,,,,,,,55.0,false,,0.0,,,false,10010,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,421,993,,,,,,,,,,,55.0,false,,0.0,,,false,10011,2025-02-09
