nome,instituicao_ensino_aluno,idade_aluno,anos_pm,fase,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,dt_pst
ALUNO-760,,,,1,Não,7.058532857142858,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.285714285714285,7.5,3.916666666666667,5.625,6.277773333333333,10,2022,2025-01-19
ALUNO-761,,,,0,Não,7.234398335932424,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.609486679662117,7.5,6,5.625,7.499995,5,2022,2025-01-19
ALUNO-762,,,,1,Não,6.62116201282668,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.00002,6.730800064133398,7.5,6.5,6.25,6.999999999999999,5,2022,2025-01-19
ALUNO-763,,,,1,Não,8.012902466766617,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.335332333833083,7.5,8.583333333333334,6.458333333333333,8.16667,5,2022,2025-01-19
ALUNO-764,,,,0,Não,6.895951771280052,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.40683885640026,5.625,6.25,4.6875,7.41666,5,2022,2025-01-19
ALUNO-765,,,,0,Sim,8.491073095238097,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.80952380952381,7.5,8.666666666666668,5.625,8.416665,10,2022,2025-01-19
ALUNO-766,,,,6,Não,4.951788339057362,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,4.617281695286811,7.5,4.766666666666667,6.25,5.999993333333333,5,2022,2025-01-19
ALUNO-768,,,,4,Não,7.084109195402299,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.574712643678161,5.625,6.533333333333334,7.5,7.291665,5,2022,2025-01-19
ALUNO-770,,,,3,Sim,8.464935044778892,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,8.836817168338907,7.5,7.555555555555556,8.28125,8.458337499999999,10,2022,2025-01-19
ALUNO-771,,,,0,Não,6.524519230769231,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.91668,8.112179487179487,7.5,6.666666666666666,3.4375,5.41666,5,2022,2025-01-19
